id,date_of_birth,gender,img,name,bio
1,1989-06-23,Male,...,"Daniel Radcliffe","Daniel Jacob Radcliffe is an English actor. He rose to fame at age 12, when he began portraying Harry Potter in the film series of the same name, from Harry Potter and the Philosopher's Stone to Harry Potter and the Deathly Hallows – Part 2. The series made him one of the world's highest-paid actors."
2,1990-05-15,Female,...,"Emma Watson","Emma Charlotte Duerre Watson is an English actress, model and activist. Known for her roles in both blockbusters and independent films, as well as for her women's rights work, she has received a selection of accolades, including a Young Artist Award and three MTV Movie Awards."
3,1988-08-24,Male,...,"Rupert Grint","Rupert Alexander Lloyd Grint is an English actor. Grint rose to fame for his role as Ron Weasley in the Harry Potter film series, for which he was cast at age eleven, having previously acted only in school plays and his local theatre group. Since then, he has continued his work on film, television, and theatre. "
4,1989-06-27,Male,...,"Mathew Lewis","Matthew David Lewis is an English actor. He is best known for his role as Neville Longbottom in the Harry Potter film series. Born in Leeds, Lewis made his acting debut in Some Kind of Life, guest-starring on dramas for ITV and BBC One before appearing in Harry Potter and the Philosopher's Stone."
5,1987-09-22,Male,...,"Tom Felton","Thomas Andrew Felton is an English actor best known for playing Draco Malfoy in the film adaptations of the Harry Potter fantasy novels by J. K. Rowling. Born in Surrey, Felton began appearing in commercials and made his screen debut in the role of Peagreen Clock in The Borrowers"
6,1986-05-13,Male,...,"Robert Pattinson","Robert Douglas Thomas Pattinson is an English actor. Known for starring in both big-budget and independent films, Pattinson has ranked among the world's highest-paid actors. In 2010, Time magazine named him one of the 100 most influential people in the world, and he was featured in the Forbes Celebrity 100 list."
7,1950-03-30,Male,...,"Robbie Coltrane","Anthony Robert McMillan OBE, known professionally as Robbie Coltrane, was a Scottish actor. He gained worldwide recognition in the 2000s for playing Rubeus Hagrid in the Harry Potter film series. He was appointed an OBE in the 2006 New Year Honours by Queen Elizabeth II for his services to drama."
8,1946-02-21,Male,...,"Alan Rickman","Alan Sidney Patrick Rickman was an English actor and director. Known for his deep, languid voice, he trained at RADA in London and became a member of the Royal Shakespeare Company, performing in modern and classical theatre productions. "
9,1962-12-22,Male,...,"Ralph Fiennes","Ralph Nathaniel Twisleton-Wykeham-Fiennes is an English actor, film producer, and director. A Shakespeare interpreter, he excelled onstage at the Royal National Theatre before having further success at the Royal Shakespeare Company."
10,1969-04-06,Male,...,"Paul Rudd","Paul Stephen Rudd is an American actor. He studied theater at the University of Kansas and the American Academy of Dramatic Arts before making his acting debut in 1991. He received a star on the Hollywood Walk of Fame in July 2015, and was included on the Forbes Celebrity 100 list in 2019."
11,1979-03-08,Male,...,"Evangeline Lilly","Nicole Evangeline Lilly is a Canadian actress and author. She gained popularity for her first leading role as Kate Austen in the ABC drama series Lost, which garnered her a nomination for the Golden Globe Award for Best Actress in a Drama Series."
12,1944-09-25,Male,...,"Michael Douglas","Michael Kirk Douglas is an American actor and film producer. He has received numerous accolades, including two Academy Awards, five Golden Globe Awards, a Primetime Emmy Award, the Cecil B. DeMille Award, and the AFI Life Achievement Award."
13,2008-04-04,Female,...,"Abby Ryder Fortson","Abby Ryder Fortson (born March 14, 2008) is an American child actress. She played Ella Novak in Transparent, Harper Weil in The Whispers, Sophie Pierson in Togetherness, Cassie Lang in Ant-Man (2015) and Ant-Man and the Wasp (2018), and Margaret Simon in Are You There God? It's Me, Margaret. (2023)"
14,1990-04-09,Female,...,"Kristen Stewart","Kristen Jaymes Stewart is an American actress. She has received various accolades, including a British Academy Film Award and a César Award, in addition to nominations for an Academy Award and a Golden Globe Award."
15,1992-02-11,Male,...,"Taylor Lautner","Taylor Daniel Lautner is an American actor. He is best known for playing werewolf Jacob Black in The Twilight Saga film series."
16,1961-08-05,Female,...,"Janet McTeer","Janet McTeer OBE is an English actress. She began her career training at the Royal Academy of Dramatic Art before earning acclaim for playing diverse roles on stage and screen in both period pieces and modern dramas."
17,1979-04-09,Female,...,"Liz White","Elizabeth White is an English actress. She is known for portraying roles of Annie Cartwright in the BBC One drama series Life on Mars, and Emma Keane in the Channel 4 school-based drama series Ackley Bridge."
18,1999-07-05,Female,...,"Emma Shorey","Emam Shorey is an actress well known for playing as 1 of the 3 Fisher Girls. She along with Molly Harmon and Ellisa Walker-Reid played in the opening scene of The Woman In Black as the 1 of the 3 Fisher Girls. Emma Shorey playing 1 of the 3 Fisher Girls."
